recipe_key,legacy_entrypoint,dss_entrypoint,relationship,notes
v14_vlm_16k,/lustre/fs1/portfolios/nemotron/projects/nemotron_omni_vision/users/matthieul/repos/data_recipe/stages/v14_vlm_16k/sft_combined_omni_16k_vlm_only_webbrowse.yaml,sft_combined_omni_16k_vlm_only_webbrowse_dss.yaml,converted_baseline,Current web-browsing legacy baseline paired with its DSS conversion
v14_vlm_16k,/lustre/fs1/portfolios/nemotron/projects/nemotron_omni_vision/users/matthieul/repos/data_recipe/stages/v14_vlm_16k/sft_combined_omni_16k_vlm_only_webbrowse.yaml,sft_combined_omni_16k_vlm_only_webbrowse_no_ultra_text_dss.yaml,derived_variant,Same paired baseline with ultra_txt_materialized_0407_median_le_16384.yaml removed
v14_vlm_49k,/lustre/fs1/portfolios/nemotron/projects/nemotron_omni_vision/users/matthieul/repos/data_recipe/stages/v14_vlm_49k/sft_49k_video.yaml,sft_49k_video_dss.yaml,converted_baseline,Current V14 49K video additions paired with its DSS conversion
omni_262k,/lustre/fs1/portfolios/nemotron/projects/nemotron_omni_vision/users/matthieul/repos/data_recipe/includes/users/matthieul/eagle_recipe_online_packing/final_recipe/mmlongbench_ultra_long_filtered_best.yaml,mmlongbench_ultra_long_filtered_best_dss.yaml,converted_baseline,Filtered MMLongBench ultra-long legacy mix paired with its DSS conversion
