source_row,recipe,role,action,legacy_path,canonical_legacy_path,mapping_status,reference_label,dss_reference,dataset_name,snapshot_name,dss_subpath,upload_root
2159,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_web_planning_cot_20250612_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_web_planning_cot_20250612_safetyfix0323,mapped,,dss://internal_web_planning_cot_20250612_v3_safetyfix0323@v0,internal_web_planning_cot_20250612_v3_safetyfix0323,v0,,
2160,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_action_20250624,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_action_20250624,mapped,,dss://internal_ubuntu_planning_cot_boost_action_20250624_v3@v0,internal_ubuntu_planning_cot_boost_action_20250624_v3,v0,,
2161,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_instruction_action_20250624,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_instruction_action_20250624,mapped,,dss://internal_ubuntu_planning_cot_boost_instruction_action_20250624_v3@v0,internal_ubuntu_planning_cot_boost_instruction_action_20250624_v3,v0,,
2162,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_20250624,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_20250624,mapped,,dss://internal_ubuntu_planning_cot_20250624_v3@v0,internal_ubuntu_planning_cot_20250624_v3,v0,,
2163,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_20250627,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_20250627,mapped,,dss://internal_web_planning_cot_20250627_v3@v0,internal_web_planning_cot_20250627_v3,v0,,
2164,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_web_planning_cot_boost_instruction_20250612_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_web_planning_cot_boost_instruction_20250612_safetyfix0323,mapped,,dss://internal_web_planning_cot_boost_instruction_20250612_v3_safetyfix0323@v0,internal_web_planning_cot_boost_instruction_20250612_v3_safetyfix0323,v0,,
2165,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_boost_instruction_20250624,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_boost_instruction_20250624,mapped,,dss://internal_web_planning_cot_boost_instruction_20250624_v3@v0,internal_web_planning_cot_boost_instruction_20250624_v3,v0,,
2166,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_instruction_20250624,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_instruction_20250624,mapped,,dss://internal_ubuntu_planning_cot_boost_instruction_20250624_v3@v0,internal_ubuntu_planning_cot_boost_instruction_20250624_v3,v0,,
2167,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_mac_planning_cot_boost_instruction_20250630,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_mac_planning_cot_boost_instruction_20250630,mapped,,dss://internal_mac_planning_cot_boost_instruction_20250630_v3@v0,internal_mac_planning_cot_boost_instruction_20250630_v3,v0,,
2168,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_boost_instruction_20250630,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_boost_instruction_20250630,mapped,,dss://internal_web_planning_cot_boost_instruction_20250630_v3@v0,internal_web_planning_cot_boost_instruction_20250630_v3,v0,,
2169,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_mac_planning_cot_boost_instruction_20250707,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_mac_planning_cot_boost_instruction_20250707,mapped,,dss://internal_mac_planning_cot_boost_instruction_20250707_v3@v0,internal_mac_planning_cot_boost_instruction_20250707_v3,v0,,
2170,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_windows_planning_cot_boost_instruction_20250707_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_windows_planning_cot_boost_instruction_20250707_safetyfix0323,mapped,,dss://internal_windows_planning_cot_boost_instruction_20250707_v3_safetyfix0323@v0,internal_windows_planning_cot_boost_instruction_20250707_v3_safetyfix0323,v0,,
2171,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_instruction_20250707,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_ubuntu_planning_cot_boost_instruction_20250707,mapped,,dss://internal_ubuntu_planning_cot_boost_instruction_20250707_v3@v0,internal_ubuntu_planning_cot_boost_instruction_20250707_v3,v0,,
2172,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_windows_planning_cot_boost_instruction_20250714,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_windows_planning_cot_boost_instruction_20250714,mapped,,dss://internal_windows_planning_cot_boost_instruction_20250714_v3@v0,internal_windows_planning_cot_boost_instruction_20250714_v3,v0,,
2173,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_boost_instruction_20250714,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_web_planning_cot_boost_instruction_20250714,mapped,,dss://internal_web_planning_cot_boost_instruction_20250714_v3@v0,internal_web_planning_cot_boost_instruction_20250714_v3,v0,,
2174,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_ubuntu_planning_cot_boost_instruction_20250714_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/internal_ubuntu_planning_cot_boost_instruction_20250714_safetyfix0323,mapped,,dss://internal_ubuntu_planning_cot_boost_instruction_20250714_v3_safetyfix0323@v0,internal_ubuntu_planning_cot_boost_instruction_20250714_v3_safetyfix0323,v0,,
2175,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_navigation_boost_instruction_20250612,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_navigation_boost_instruction_20250612,mapped,,dss://internal_android_navigation_boost_instruction_20250612_v3@v0,internal_android_navigation_boost_instruction_20250612_v3,v0,,
2176,omni_262k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/zhiqil/data/GUI_data/datasets--OpenGVLab--ScaleCUA-Data/snapshots/6e1f1d3e247048c61d9d88bfa66730a3a9c75280/data/data_20250612/android/images,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/zhiqil/data/GUI_data/datasets--OpenGVLab--ScaleCUA-Data/snapshots/6e1f1d3e247048c61d9d88bfa66730a3a9c75280/data/data_20250612/android/images,mapped,media_source,dss://opengvlab_scalecua_data@v0/data_20250612/android/images,opengvlab_scalecua_data,v0,data_20250612/android/images,
2177,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_navigation_boost_instruction_20250630,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_navigation_boost_instruction_20250630,mapped,,dss://internal_android_navigation_boost_instruction_20250630_v3@v0,internal_android_navigation_boost_instruction_20250630_v3,v0,,
2178,omni_262k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/zhiqil/data/GUI_data/datasets--OpenGVLab--ScaleCUA-Data/snapshots/6e1f1d3e247048c61d9d88bfa66730a3a9c75280/data/data_20250630/android/images,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/zhiqil/data/GUI_data/datasets--OpenGVLab--ScaleCUA-Data/snapshots/6e1f1d3e247048c61d9d88bfa66730a3a9c75280/data/data_20250630/android/images,mapped,media_source,dss://opengvlab_scalecua_data@v0/data_20250630/android/images,opengvlab_scalecua_data,v0,data_20250630/android/images,
2179,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_navigation_boost_instruction_20250707,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_navigation_boost_instruction_20250707,mapped,,dss://internal_android_navigation_boost_instruction_20250707_v3@v0,internal_android_navigation_boost_instruction_20250707_v3,v0,,
2180,omni_262k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/zhiqil/data/GUI_data/datasets--OpenGVLab--ScaleCUA-Data/snapshots/6e1f1d3e247048c61d9d88bfa66730a3a9c75280/data/data_20250707/android/images,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/zhiqil/data/GUI_data/datasets--OpenGVLab--ScaleCUA-Data/snapshots/6e1f1d3e247048c61d9d88bfa66730a3a9c75280/data/data_20250707/android/images,mapped,media_source,dss://opengvlab_scalecua_data@v0/data_20250707/android/images,opengvlab_scalecua_data,v0,data_20250707/android/images,
2181,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_20250612,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_20250612,mapped,,dss://internal_android_planning_cot_20250612_v3@v0,internal_android_planning_cot_20250612_v3,v0,,
2182,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_boost_instruction_20250612,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_boost_instruction_20250612,mapped,,dss://internal_android_planning_cot_boost_instruction_20250612_v3@v0,internal_android_planning_cot_boost_instruction_20250612_v3,v0,,
2183,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_boost_instruction_20250630,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_boost_instruction_20250630,mapped,,dss://internal_android_planning_cot_boost_instruction_20250630_v3@v0,internal_android_planning_cot_boost_instruction_20250630_v3,v0,,
2184,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_boost_instruction_20250707,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/internal_android_planning_cot_boost_instruction_20250707,mapped,,dss://internal_android_planning_cot_boost_instruction_20250707_v3@v0,internal_android_planning_cot_boost_instruction_20250707_v3,v0,,
2185,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/GroundCUA_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/GroundCUA_safetyfix0323,mapped,,dss://GroundCUA_clean_safetyfix0323@v0/GroundCUA_clean_safetyfix0323.jsonl,GroundCUA_clean_safetyfix0323,v0,GroundCUA_clean_safetyfix0323.jsonl,
2186,omni_262k,auxiliary,verified_previous_v14,/,/,mapped,media_source,dss://groundcua_images@v0,groundcua_images,v0,,
2187,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/servicenow_ui_vision_desktop,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/servicenow_ui_vision_desktop,mapped,,dss://servicenow_ui_vision_desktop_clean@v0/servicenow_ui_vision_desktop_clean.jsonl,servicenow_ui_vision_desktop_clean,v0,servicenow_ui_vision_desktop_clean.jsonl,
2188,omni_262k,auxiliary,verified_previous_v14,/,/,mapped,media_source,dss://servicenow_ui_vision_images@v0,servicenow_ui_vision_images,v0,,
2189,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/desktop_linux_splited,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/desktop_linux_splited,mapped,,dss://desktop_linux_splited_clean@v0/desktop_linux_splited_clean.jsonl,desktop_linux_splited_clean,v0,desktop_linux_splited_clean.jsonl,
2190,omni_262k,auxiliary,verified_previous_v14,/,/,mapped,media_source,dss://desktop_linux_splited_cleaned_with_ref@v0,desktop_linux_splited_cleaned_with_ref,v0,,
2191,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/desktop_macos_splited,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/vlm_datasets/GUI_datasets/cleaned/desktop_macos_splited,mapped,,dss://desktop_macos_splited_clean@v0/desktop_macos_splited_clean.jsonl,desktop_macos_splited_clean,v0,desktop_macos_splited_clean.jsonl,
