source_row,recipe,role,action,legacy_path,canonical_legacy_path,mapping_status,reference_label,dss_reference,dataset_name,snapshot_name,dss_subpath,upload_root
2,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320@v0,nano_v35_chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,v0,,
3,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,arxiv_chart_alignment,dss://arxiv_chart_alignment@v0,arxiv_chart_alignment,v0,,
3,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,nonarxiv_chart,dss://nonarxiv_chart@v0,nonarxiv_chart,v0,,
4,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_descriptive_task_nonapplicable_ratio22,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_descriptive_task_nonapplicable_ratio22,mapped,,dss://nano_v35_chart_image_descriptive_task_nonapplicable_ratio22@v0,nano_v35_chart_image_descriptive_task_nonapplicable_ratio22,v0,,
5,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/arxiv_chart_alignment,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/arxiv_chart_alignment,mapped,media_source,dss://arxiv_chart_alignment@v0,arxiv_chart_alignment,v0,,
6,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320@v0,nano_v35_chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,v0,,
7,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,media_source,dss://arxiv_chart_alignment@v0,arxiv_chart_alignment,v0,,
8,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320@v0,nano_v35_chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,v0,,
9,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,media_source,dss://nonarxiv_chart@v0,nonarxiv_chart,v0,,
10,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319,mapped,,dss://nano_v35_chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319@v0,nano_v35_chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319,v0,,
11,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_nonarxiv_1002_remaining_nonqwen3p5,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_nonarxiv_1002_remaining_nonqwen3p5,mapped,,dss://nano_v35_chart_image_reasoningv4_nonarxiv_1002_remaining_nonqwen3p5@v0,nano_v35_chart_image_reasoningv4_nonarxiv_1002_remaining_nonqwen3p5,v0,,
12,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/charxiv_1302_qwen3p5_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/charxiv_1302_qwen3p5_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_charxiv_1302_qwen3p5_formatted_fixthink0319_cleaned0320@v0,nano_v35_charxiv_1302_qwen3p5_formatted_fixthink0319_cleaned0320,v0,,
13,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/kchumachenko/datasets/fuxiao-charxiv/code2Img,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/kchumachenko/datasets/fuxiao-charxiv/code2Img,mapped,media_source,dss://charxiv_code2img@v0,charxiv_code2img,v0,,
14,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/charxiv_1302_noqwen3p5,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/charxiv_1302_noqwen3p5,mapped,,dss://nano_v35_charxiv_1302_noqwen3p5@v0,nano_v35_charxiv_1302_noqwen3p5,v0,,
15,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/kchumachenko/datasets/fuxiao-charxiv,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/kchumachenko/datasets/fuxiao-charxiv,mapped,media_source,dss://charxiv_code2img@v0,charxiv_code2img,v0,,
16,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/LN_VILA_augment_caption_nmh5r_reanswered_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/LN_VILA_augment_caption_nmh5r_reanswered_safetyfix0323,mapped,,dss://LN_VILA_augment_caption_nmh5r_reanswered_qwen30a3b_safetyfix0323@v0,LN_VILA_augment_caption_nmh5r_reanswered_qwen30a3b_safetyfix0323,v0,,
17,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/openimages,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/openimages,mapped,media_source,dss://openimages@v0,openimages,v0,,
18,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/OI_VILA_caption_1.2M_filt_nmh5r_reanswered_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/safety_fix/OI_VILA_caption_1.2M_filt_nmh5r_reanswered_safetyfix0323,mapped,,dss://OI_VILA_caption_1.2M_filt_nmh5r_reanswered_qwen30a3b_safetyfix0323@v0,OI_VILA_caption_1.2M_filt_nmh5r_reanswered_qwen30a3b_safetyfix0323,v0,,
19,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/ksapra/src/trainingvlm/data_curation/processed/textcaps_nmh5r_reanswered,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/ksapra/src/trainingvlm/data_curation/processed/textcaps_nmh5r_reanswered,mapped,,dss://textcaps_nmh5r_reanswered_qwen30a3b@v0/textcaps_nmh5r_reanswered_qwen30a3b.jsonl,textcaps_nmh5r_reanswered_qwen30a3b,v0,textcaps_nmh5r_reanswered_qwen30a3b.jsonl,
20,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M,mapped,media_source,dss://Cambrian-10M@v0/textvqa/train_images,Cambrian-10M,v0,textvqa/train_images,
21,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/ksapra/src/trainingvlm/data_curation/processed/textcaps_commercial_new_nmh5r_reanswered,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/ksapra/src/trainingvlm/data_curation/processed/textcaps_commercial_new_nmh5r_reanswered,mapped,,dss://textcaps_commercial_new_nmh5r_reanswered_qwen30a3b@v0,textcaps_commercial_new_nmh5r_reanswered_qwen30a3b,v0,,
22,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/textvqa,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/textvqa,mapped,media_source,dss://Cambrian-10M@v0/textvqa,Cambrian-10M,v0,textvqa,
23,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/ksapra/src/trainingvlm/data_curation/processed/textvqa_commercial_new_nmh5r_reanswered,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/ksapra/src/trainingvlm/data_curation/processed/textvqa_commercial_new_nmh5r_reanswered,mapped,,dss://textvqa_commercial_new_nmh5r_reanswered_qwen30a3b@v0,textvqa_commercial_new_nmh5r_reanswered_qwen30a3b,v0,,
24,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/refcoco_updated_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/refcoco_updated_nmh5r,mapped,,dss://refcoco_updated_nmh5r@v0/refcoco_updated_nmh5r.jsonl,refcoco_updated_nmh5r,v0,refcoco_updated_nmh5r.jsonl,
25,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data,mapped,media_source,dss://coco@v0/train2017,coco,v0,train2017,
26,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/vqav2_okvqa_updated_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/vqav2_okvqa_updated_nmh5r,mapped,,dss://vqav2_okvqa_updated_nmh5r@v0/vqav2_okvqa_updated_nmh5r.jsonl,vqav2_okvqa_updated_nmh5r,v0,vqav2_okvqa_updated_nmh5r.jsonl,
27,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/vqav2_okvqa_reason_qwen3.5_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/vqav2_okvqa_reason_qwen3.5_safetyfix0323,mapped,,dss://vqav2_okvqa_reason_qwen3.5_safetyfix0323@v0/vqav2_okvqa_reason_qwen3.5_safetyfix0323.jsonl,vqav2_okvqa_reason_qwen3.5_safetyfix0323,v0,vqav2_okvqa_reason_qwen3.5_safetyfix0323.jsonl,
28,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/a_okvqa_legal_updated_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/a_okvqa_legal_updated_nmh5r,mapped,,dss://a_okvqa_legal_updated_nmh5r@v0/a_okvqa_legal_updated_nmh5r.jsonl,a_okvqa_legal_updated_nmh5r,v0,a_okvqa_legal_updated_nmh5r.jsonl,
29,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/a_okvqa_legal_reason_qwen3.5,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/a_okvqa_legal_reason_qwen3.5,mapped,,dss://a_okvqa_legal_reason_qwen3.5@v0/a_okvqa_legal_reason_qwen3.5.jsonl,a_okvqa_legal_reason_qwen3.5,v0,a_okvqa_legal_reason_qwen3.5.jsonl,
30,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/gqa_updated_new_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/gqa_updated_new_nmh5r,mapped,,dss://gqa_updated_new_nmh5r@v0,gqa_updated_new_nmh5r,v0,,
31,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/gqa/images,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/gqa/images,mapped,media_source,dss://Cambrian-10M@v0/gqa/images,Cambrian-10M,v0,gqa/images,
32,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/gqa_reason_qwen3.5_fixthink0319_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/gqa_reason_qwen3.5_fixthink0319_safetyfix0323,mapped,,dss://gqa_reason_qwen3.5_fixthink0319_safetyfix0323@v0,gqa_reason_qwen3.5_fixthink0319_safetyfix0323,v0,,
33,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/aokvqa_commercial_new_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/aokvqa_commercial_new_nmh5r,mapped,,dss://aokvqa_commercial_new_nmh5r@v0,aokvqa_commercial_new_nmh5r,v0,,
34,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/coco,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/coco,mapped,media_source,dss://coco@v0,coco,v0,,
35,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/aokvqa_commercial_reason_qwen3.5_fixthink0319,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/aokvqa_commercial_reason_qwen3.5_fixthink0319,mapped,,dss://aokvqa_commercial_reason_qwen3.5_fixthink0319@v0,aokvqa_commercial_reason_qwen3.5_fixthink0319,v0,,
36,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/clevr_merge_explanation_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/clevr_merge_explanation_nmh5r,mapped,,dss://commercial_clevr_nmh5r@v0,commercial_clevr_nmh5r,v0,,
37,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/clevr/CLEVR_v1.0,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/clevr/CLEVR_v1.0,mapped,media_source,dss://Cambrian-10M@v0/clevr/CLEVR_v1.0,Cambrian-10M,v0,clevr/CLEVR_v1.0,
38,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/clevr_merge_reason_qwen3.5_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/clevr_merge_reason_qwen3.5_safetyfix0323,mapped,,dss://commercial_clevr_reason_qwen3.5_safetyfix0323@v0/commercial_clevr_reason_qwen3.5_safetyfix0323.jsonl,commercial_clevr_reason_qwen3.5_safetyfix0323,v0,commercial_clevr_reason_qwen3.5_safetyfix0323.jsonl,
39,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/clevr/CLEVR_v1.0,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/clevr/CLEVR_v1.0,mapped,media_source,dss://Cambrian-10M@v0/clevr/CLEVR_v1.0/images/train,Cambrian-10M,v0,clevr/CLEVR_v1.0/images/train,
40,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/sft_jsonl_draco/eagle_v1/clevr_math_merged_70k_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/sft_jsonl_draco/eagle_v1/clevr_math_merged_70k_nmh5r,mapped,,dss://clevr_math_nmh5r@v0,clevr_math_nmh5r,v0,,
41,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/clevr/CLEVR_v1.0/images/train,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/sft_data/Cambrian-10M/clevr/CLEVR_v1.0/images/train,mapped,media_source,dss://Cambrian-10M@v0/clevr/CLEVR_v1.0/images/train,Cambrian-10M,v0,clevr/CLEVR_v1.0/images/train,
42,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/length/commercial_synthdog-en_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/length/commercial_synthdog-en_nmh5r,mapped,,dss://commercial_synthdog-en_nmh5r@v0/commercial_synthdog-en_nmh5r.jsonl,commercial_synthdog-en_nmh5r,v0,commercial_synthdog-en_nmh5r.jsonl,
43,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/data,mapped,media_source,dss://synthdog_en_images@v0,synthdog_en_images,v0,,
44,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/length/commercial_wit_1_8m_nmh5r_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/length/commercial_wit_1_8m_nmh5r_safetyfix0323,mapped,,dss://commercial_wit_1_8m_nmh5r_safetyfix0323@v0/commercial_wit_1_8m_nmh5r_safetyfix0323.jsonl,commercial_wit_1_8m_nmh5r_safetyfix0323,v0,commercial_wit_1_8m_nmh5r_safetyfix0323.jsonl,
45,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,media_source,dss://wit_1_8m_images@v0,wit_1_8m_images,v0,,
46,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/oasst_processed_laion_openasst_nmh5r_safetyfix0323,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_jsonl/vila_v3_backup/oasst_processed_laion_openasst_nmh5r_safetyfix0323,mapped,,dss://oasst_processed_laion_openasst_nmh5r_safetyfix0323@v0,oasst_processed_laion_openasst_nmh5r_safetyfix0323,v0,,
47,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data,removed,,,,,,
48,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/vatex_subset_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/vatex_subset_nmh5r,mapped,,dss://vatex_subset_nmh5r@v0,vatex_subset_nmh5r,v0,,
49,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/video/vatex/videos_clipped,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/video/vatex/videos_clipped,mapped,media_source,dss://vatex_clipped@v0,vatex_clipped,v0,,
50,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/youcook_subset_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/youcook_subset_nmh5r,mapped,,dss://youcook2_subset_nmh5r@v0,youcook2_subset_nmh5r,v0,,
51,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/video/youcook2/video_data_clipped,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/video/youcook2/video_data_clipped,mapped,media_source,dss://youcook2_clipped@v0,youcook2_clipped,v0,,
52,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/processed_videos_v1_cosmos_caption_nmh5r,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/amalasanjayd/eagle_recipe/online_packing/playground/commercial_sft_jsonl/vila_v3_backup/processed_videos_v1_cosmos_caption_nmh5r,mapped,,dss://processed_videos_v1_cosmos_caption_nmh5r@v0,processed_videos_v1_cosmos_caption_nmh5r,v0,,
53,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/video/processed_videos_v1,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/video/processed_videos_v1,mapped,media_source,dss://processed_videos_v1@v0,processed_videos_v1,v0,,
